label,text_processed,length
1,дівчата хотіти охрініті примусова зараховувати співання пісня відценну пара,9
1,афігенніша принести пара афігенних бабуся зустріч батьки,7
0,нє піти тема наркоман триматися лінукс,6
0,картинка голова,2
0,трендах твіттера фанати джастіна бібера світ спокійно,7
0,смотріспорт падати трансляція варіант подивитися,5
0,річ частина одногрупників обурюватися сильний дискримінація голівуді тб,8
1,батьки розбалувал діти ридати кричати тц будьяку дрібниця йти нахуй дістати,11
0,різдвяний омномном чай згущеним молоко́,5
0,оля шо нормально сфоткати,4
0,ягупов секссимвол цьогорічнога захід топлесс емм спідничці,7
1,тіки лох загубити навушники значок герб рейву Львів,8
1,дура їбанута,2
0,стрічка мішико трагічний співпадіння луценко щутіл фінансування курченком,8
1,мудойобськи забувати обовязки захотітися зробити,5
0,сонце вирішити жарити налаштований носити чорний,6
1,розмова зрада їбанута оптимі́ст неможливо стати фітоняшкою якшо жерти всьо життя майонез,12
0,вибір зробити часом думати помилитися,5
1,давайїбош поїхати психіатра знайти підходящий,5
0,витвір мистецтво подарувати день народження,5
0,мама дозволити березень дівчина поїхати довольна,6
0,пацанка казати дратувати,3
1,найголовніший невєбічєскій мова проблема говорити,5
0,казати шо зачєм женячка дитина,5
0,позайматись баран джазом,3
1,ахтижмудаки невдаха гроші продаж,4
1,блядська зробити,2
0,життя змінити – остаточно переконатися ідіо́т,6
1,відхуярив мама,2
0,ощасливив стан більший істеричкою,4
0,хотіти взяти вал влітку Карпати звісно гора мрець,8
0,село іспанський кабак пошукати,4
0,підозрілий ноута – старий глючна залізяка,6
0,хотіти завести песика мякий кумедний сказати знайти́ баба,8
1,ммм іди нахуй,3
0,скоро закінчити школа покинути неприємний люди ждати бог,8
1,невебенно нейтральний полова орієнтація ма́ти право спастися армія,8
1,робити підсумковий іспит знати відповідь пздц,6
0,повний пакет носити набагато приємний пакет подарунок,7
1,казати лютийпиздець побачає люди відмінний раса думати двоє більший група,10
0,відповідальний день повинний поширювати слово,5
0,страшно ібо активний словник половина слово інги оо,8
0,цирк революція кабаре врятувати світ апокаліпсис,6
1,зробити мудачила вміти плавати заморозити,5
1,лох 80 левела загубити зарядку фотіка знати вміти практика,9
1,їбанута виклпдачка ідеально виконати бер стирає пара лінія схема спалити,10
0,здати іспит кримінальний відчути харизматичною зірочка ггг,7
0,нііііііі вирубати кінець січень,4
1,берегти здоровя шльондра цноту,4
1,вздрючим дівчата перестати говорити,4
1,іди нахуй Артем дякувати,4
0,волосся просмердітися цигарка біль друз палити,6
0,заправила повний бак купити кава їда крутий місце фотки закинути,10
1,охуїть дівча легший дістатися алкоголь,5
1,овоч лягати вампір сонце голова скрипіти лох жизні,8
1,13 1 йти нахуй,4
0,Росія держава уламок недорозваленої імперія ©,6
1,ахєрєн перестати пити гадким,4
1,сука петь мрія щоб здохнути заїбало уйобок вкотре встромити серце,10
0,взяти рука прочитати витвір мистецтво,5
0,єдиний втримує новий музика загнувся,5
1,робити пердиш настигає криза шукати дешевше проживання,7
1,дівчина задохла задохнути,3
1,двічі являтися квиток лох доля гра несимпатичної команда поспостерігати вдома,10
1,наїбен прийти кімната почати надругатися жінка,6
0,виливати біль твіт залишати чернетках,5
0,обідати горілка вечеряти творогом здоровий харчування,6
1,їбанута дорогий книжка віддавати,4
0,погано звикнути забити дівча перейти мужиків0,6
0,ліса гг кампус мораско,4
1,ахрінітєльно змогти зайняти робота пробувати,5
1,дивний річ охрініння право людина Україна платити гроші належний особа захищати,11
0,трошки погрузитись стати принцеса меланхолія,5
1,робити грандсрач приміщення жінка стояти поглядати показати грандсрачність,8
1,іди нахуй заїбала дзвонити,4
0,приносити бухло ресторан,3
1,нехрін некомпетентний,2
0,медіа додатковий нервовий система людина американський філософ маршал маклюен,9
0,знайти́ веломеханіка роверик потрапити надійний рука скоро гоцати 8,9
1,зробити жопопляс почути вибори поїхати голосувати карта банк паспорт,9
0,лягати спатки годинки розбудити ааа оченята закривати,7
0,пожежний відро стати робити конусами додому тирили незручний ить,9
1,Тимошенко іди нахуй сука здохнути там6,6
1,право говорити хотіти йти нахуй нахуй нахуй нахуй блять,9
1,можливість трахнутись трахаюсь нема нити шо хотіти секс їбанута баба блять,11
