text_preprocessed,label,len
хто перш людейгандон ад бо йог жінк перш бабагандон,1,9
у двер подзвонил і лєр в трус пішл відкрив лєр дурн,0,11
так я в скайп підписан пушистік так мен 10 так можн ржатиз,0,12
не крич ал крєпк сумнів зовс не прот що вияв не прав,0,12
що кращ наш міськрад зробил з міст гівнотвіт,1,8
ахуєваюч себ почувал прост худоб без ніяк вмінн інтелект,1,9
том на пар у мен лиц страждальц зат як непохитн,0,10
відшука злоїбуч жінк і посад в кулон получиш перфектн подарунок твоє дружин,1,12
ден поч з жашк ід наху дім зєб звід і заберіт свог далбайоб мен діст,1,15
уж понад півтор місяц риг катаєт машин з од аж хочет підійт спит що тут забув підарас,1,17
що йобл тут займают це діяльніст як називают житт,1,9
а це момент вибач не подум,0,6
куд приткнут на подол барчик що так,0,7
якщ не знаєш що робит прост заїбавш,1,7
прост тут виникл суперечк і я в упор не мож уявит можн вчин поінакш,0,14
виїб педосівськ це дешевш ніж придб більш автобус,1,8
до пят тре випрасув ще 20 чохл скажен темп уж попекл пальц,0,12
у мен тільк 2 настр 1 ід наху уйобок 2 ід наху уйобок мі 3,1,15
звичайн що шлюх кращ дружин ж не потрібн задовільн,1,9
хто зна подивит список друз вконтакт якщ вон закрит,0,9
лох а стерв ну соб комплімент зрозм то люб,1,9
один мі знайом каз що посварит з людин можн тільк якщ мудак,1,12
в інш вух я каж не треб огидн,0,8
вед себ мудак і не рад житт,1,7
кол можливіст трахнут не трах кол нем ни шо хоч секс їбанут баб блят,1,14
спікер робит селф в готел і неха світ зачек,0,9
а час летит шлюх з девят поверх,1,7
що дарм каж педосівчанин до свог друг це теб брат бо мен не достатн педос,1,15
у патріблєн нем мозк,1,4
що за хлопчик ма найдовш подпізджік невідомец,1,7
мож своїх фоток з гір поскид нагнітанн атмосфео,0,8
в топ на укрбаш псевдоцитат табачник ї бож я гад шо всі вже в курс,0,15
знаєш це так дивн бо якщ дівчин ма багат чоловік то шлюх а якщ хлопец то самец крут респект,1,19
що якщ всі паср бездомн ніхт не зміг працюв,1,9
ця іспанськ пісн застрял в гол і на повтор ціл ден я і слов не розумію…,0,16
виходит що сторіс наш маленьк таун дивл більш ніж антверпен,0,10
аб деревян хатинк на полтв як потон якщ хто важит 66 кг,0,12
якщ зайобув то можеш вже піт до дом,1,8
ну то пизду вчит коал підвид львівськ,1,7
сам на свят відчуваєш себ одинок том і ненавидиш,0,9
підарас підарас,1,2
нитик і уйобок забира з мог житт на що це натякаєш,1,11
аж цікав скільк дійсн люд тоб говорил в лиц що мудак,1,11
що залишил післ тог педорос випил всю лікарн абсолютн ніч,1,10
у курвастар нем мозк бо витрат йог на алкогол,1,9
ахуєнськ чоловік це кол приходит дод і йог жінк не ах,1,11
знов на тем львівськ карпат вчерг горд чимчикуюч з цигарочк повз стадіон україн проходж кріз групк підлітк кра вух чу підарас і смішк пот оцінюют мен ззад схожийсхож аж настр підняв треб буд провест виховн бесід підмін пон,1,38
канал не буд а прост картинк щодн ділит мож,0,9
пиш можн знім нов серіал я проїб ваш мам бо я туп мудак,1,13
дм то як занадт інтимн не можн ж взят і отак людин рапт в дм напис,0,16
забебал і не знаєш що так мов,1,7
гот до двох надважк розм змінит і не каж що не попередж,0,12
що тут пояснюв прост жал на житт і на себ,0,10
запитайт в мен що адекватн в четверправд,0,7
похєрачил потрапил до психушк,1,4
71 2009 акающ мразот приїздит з одн місц в світ мацквабад,1,11
добр ранк з ліжечк файн понеділк,0,6
я вот недавн згад кол всот побач тих анфоловер,0,9
підзаєбал завданн ал не стал подив бо ж подзаєбал,1,9
що не волонтьор – лідєр мнєн то брехлив прорусняв мразот що пиздит грош люд і налив прорусняв риторик жизн,1,19
бит так вчител треб я спортзал довг боял і сторон обходил,0,11
концерт в підтримк кличк пфф форум видавц,0,7
показ періодичн пожен аб всяк жах російськ глибинк,0,8
всьо це момент наст нат завел інстагр,0,7
пха поган знаєш якщ я відвез а не навпак то буд ще гірш,0,13
а ріл чо вон лізут кол чмо серед бомж а кол звєзд то пофіг,1,14
прабаб прислужувал як єврейц давал ї їж і так чин вон змогл вижит,0,13
а з чим вареничк з висок глікемічн індекс,0,8
постійн подертірозбит колін шлюхаподумаєт любл фотографуватискаж я7,1,7
виявляєт мо састаян атсутств шо супроводж мен останн дні це ефект таблеток як зараз прийм ше алкогол не можн а я вчор навалил скотин ну піздєц,1,26
клас шкод що цьог рок хепібьозд не заспіваєш гарн подорожж,0,10
ну шофотк обробил тепер треб що шкрябнут ал емоц нул,0,10
що я зна як одн людин мудак ал нік не каж робит мен безмежн благородн прост мен ніхт не повірит,1,20
напіздув бабус на диван це відмінн спосіб зробит дуж нещасн,1,10
вірш запиш на днях бо сьогодн трішк не в том стан тог,0,12
що зробит якщ тво дитинств так поган що зайобуйт не можн,1,11
мо єдінствінн грамот з прав в тумбочц валяєт,0,8
обйобан жінк найкращ почуваєт кол прикривают два кульк картопл,1,9
їдем в пуст трамва персональн,0,5
ті хто похуєв не мают дум,1,6
якб юл не в качанівц не майдан бо народ нестерп просивюл вол,0,12
слов на с там займают спорт сект,0,7
буд сам по хат ходит пок ніхт не бачит,0,9
ком радіоафродіт емпетришн формат мен влом в лузлесс тойв,0,9
піш у дуп одн ніч не хочеш робит,1,8
гад бєр шьінєл пизду в растов6,1,6
вйобув у психологі ал йог результ так жахлив що пройш за перш раз і нікол більш не повернув,1,18
реч котр це вже занадт наприклад віктр павлік,0,8
знов наш відд стар форм молдаван,0,6
о підар,1,2
відбуваєт конкурс на найпиздатіш чоловік і перемог вигр президент,1,9
в цьом роц крім мам і баб нік особист не привіт з 8мим березн самозакохан мудак,1,16
одн телефонн розм знов зіпсувал,0,5
не зна жодн жив людин як вон стрес знімают,0,9
що обсир більш всьог при дівчат іх розумінн,1,8
ки це то мудак що прстійн крад у мен гарн дівчат і перетворю на втомлен житт створін ми з ним конкурент,1,21
теж домовлял інакш далек ми не заїх,0,7
піш наху це єдин нормальн діалог з так по діл що напис ніх що балак,1,15
же мен бісит кол хто почин повідомленн привіт блят йди наху,1,11
в так вечор хочет сидіт на берез мор з пляшк вин і обійм дівч,0,14
бабц неймовірн любл,0,3
пересреверт вибач я думал шо лох післ баталіст ал територ команч прост інверт ма,1,14
бляд не знаєш ніч прост дурен,1,6
що відбуваєт кол два гімноїдств друж вон прост хвилюют з гордіст,1,11
підтримк сім далбайоб їбанат дебіл йобнут,1,6
зрозуміл щоб зіскочит з газов контракт тамошенк за виконанн котр топір маст гівн порох цит нужн прост прізн вайн вайн с зрадойобськ виблядок отак прост і залишит сам на сам з русне бо ху хто впряг у прям і відкрит протистоянн,1,41
так слабеньк мереж хоч раз твітнут,0,6
кароуч дум номінац мудак рок я візьм,1,7
нєєбацц і безбачн люд найкращ що мож на світ,1,9
ржу мудак з пост груп че,1,6
це припіздал планетарн лідер не зна правильн працюв,1,8
